DHAKA STOCK EXCHANGE LTD.

                  TODAY'S SHARE MARKET : 2016-12-18
                  =================================
	Please press the refresh button if the page is not updated

All Category

    ISSUES ADVANCED                 :                    146
    ISSUES DECLINED                 :                    135
    ISSUES UNCHANGED                :                     43
    TOTAL ISSUES TRADED             :                    324


A Category (Equity)

    ISSUES ADVANCED                 :                    118
    ISSUES DECLINED                 :                    112
    ISSUES UNCHANGED                :                     32
    TOTAL ISSUES TRADED             :                    262


B Category (Equity)

    ISSUES ADVANCED                 :                      6
    ISSUES DECLINED                 :                      3
    ISSUES UNCHANGED                :                      1
    TOTAL ISSUES TRADED             :                     10


N Category (Equity)

    ISSUES ADVANCED                 :                      2
    ISSUES DECLINED                 :                      3
    ISSUES UNCHANGED                :                      1
    TOTAL ISSUES TRADED             :                      6


Z Category (Equity)

    ISSUES ADVANCED                 :                     20
    ISSUES DECLINED                 :                     17
    ISSUES UNCHANGED                :                      9
    TOTAL ISSUES TRADED             :                     46


MUTUAL FUND (MF)

    ISSUES ADVANCED                 :                      5
    ISSUES DECLINED                 :                     12
    ISSUES UNCHANGED                :                     17
    TOTAL ISSUES TRADED             :                     34


CORPORATE BOND (CB)

    ISSUES ADVANCED                 :                      0
    ISSUES DECLINED                 :                      1
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      1


TREASURY BOND (TB)

    ISSUES ADVANCED                 :                      0
    ISSUES DECLINED                 :                      0
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      0


TOTAL TRANSACTIONS

    A. NO. OF TRADES                :                 174258
    B. VOLUME(Nos.)                 :              306212070
    C. VALUE(Tk)                    :          9750167226.90



MARKET CAPITALISATION

    1. EQUITY                       :       2793519734257.98
    2. MUTUAL FUND                  :         32355100815.38
    3. DEBT SECURITIES              :        555132882856.50
    TOTAL                           :       3381007717929.85




                   PRICES IN PUBLIC TRANSACTIONS : 2016-12-18
                   ==========================================

A Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

AAMRATECH     31.80    33.40    30.90    33.00   5.43   1069      1728236       55.596
ABBANK        22.00    22.70    21.70    22.50   2.27   2003      6369677      141.490
ACI          388.00   395.00   385.10   394.30   2.12    992        95766       37.536
ACIFORMULA   155.00   156.30   152.00   153.60   0.79    294        56486        8.737
ACMELAB       98.00   100.70    97.50    99.30   1.64   1647       380358       37.512
ACTIVEFINE    43.50    44.40    42.50    43.90   1.15   2542      3991500      173.842
AFCAGRO       53.00    55.10    53.00    53.90   2.28   1629      2091837      112.982
AFTABAUTO     58.70    61.00    57.90    60.70   3.41   2272      2228086      133.841
AGNISYSL      20.40    20.40    19.80    20.00  -1.48    520       985854       19.847
AGRANINS      21.70    24.00    21.70    23.60   4.89    138       408035        9.509
AL-HAJTEX     88.50    88.50    86.00    86.20  -1.82    698       160101       13.887
ALARABANK     15.10    15.30    15.10    15.20   0.00    216      1503024       22.908
AMANFEED      70.30    71.60    69.80    70.70   0.86    431       273167       19.300
AMBEEPHA     395.00   405.00   395.00   403.00   4.00    503        27735       11.105
AMCL(PRAN)   209.80   211.50   207.60   208.60   0.10    167        29179        6.110
ANLIMAYARN    30.50    30.50    28.30    28.60  -5.61    428       335422        9.762
APEXFOODS    145.00   145.80   140.90   141.30  -1.40    397        54313        7.711
APEXFOOT     340.10   343.50   333.00   335.30  -1.18    718       113537       38.271
APEXSPINN    113.00   113.50   108.10   109.50  -2.84    330        64268        7.115
APEXTANRY    134.60   134.60   129.60   130.20  -0.38    172        75001        9.855
APOLOISPAT    17.90    19.20    17.80    19.00   7.34   3889     13397304      249.464
ARAMIT       354.00   356.10   352.00   353.60  -0.23    133        10329        3.655
ARAMITCEM     34.60    34.80    34.00    34.20  -0.58    275       261074        8.991
ARGONDENIM    31.60    32.70    31.10    31.60   0.64   1727      2144540       68.579
ASIAINS       18.20    18.70    18.10    18.50   1.09     37        31359        0.579
ASIAPACINS    18.80    18.80    18.50    18.60   0.54     17         8200        0.152
ATLASBANG    109.50   110.00   109.00   109.10  -0.64    141        31089        3.399
