
Instr Code        Open        High         Low        Last     Deviation

RAHIMAFOOD       98.70       98.70       88.90       89.00        -9.828
POWERGRID        64.80       66.80       57.50       58.90        -9.105
MHSML            19.00       19.00       17.20       17.30        -8.947
MIDASFIN         25.90       26.40       23.60       23.60        -8.880
APEXFOODS       159.70      159.70      142.00      146.60        -8.203
ORIONINFU        65.00       65.00       59.90       59.90        -7.846
KAY&QUE          32.50       32.50       30.20       30.20        -7.077
LEGACYFOOT       19.90       19.90       17.80       18.50        -7.035
BEACONPHAR       20.40       20.50       18.60       19.00        -6.863
BANGAS          110.00      110.00      102.00      102.50        -6.818




