

 

                      DHAKA STOCK EXCHANGE LTD.

                  TODAY'S SHARE MARKET : 2016-12-19
                  =================================
	Please press the refresh button if the page is not updated

All Category

    ISSUES ADVANCED                 :                    147
    ISSUES DECLINED                 :                    135
    ISSUES UNCHANGED                :                     43
    TOTAL ISSUES TRADED             :                    325


A Category (Equity)

    ISSUES ADVANCED                 :                    119
    ISSUES DECLINED                 :                    109
    ISSUES UNCHANGED                :                     34
    TOTAL ISSUES TRADED             :                    262


B Category (Equity)

    ISSUES ADVANCED                 :                      4
    ISSUES DECLINED                 :                      7
    ISSUES UNCHANGED                :                      1
    TOTAL ISSUES TRADED             :                     12


N Category (Equity)

    ISSUES ADVANCED                 :                      5
    ISSUES DECLINED                 :                      1
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      6


Z Category (Equity)

    ISSUES ADVANCED                 :                     19
    ISSUES DECLINED                 :                     18
    ISSUES UNCHANGED                :                      8
    TOTAL ISSUES TRADED             :                     45


MUTUAL FUND (MF)

    ISSUES ADVANCED                 :                     12
    ISSUES DECLINED                 :                      7
    ISSUES UNCHANGED                :                     15
    TOTAL ISSUES TRADED             :                     34


CORPORATE BOND (CB)

    ISSUES ADVANCED                 :                      1
    ISSUES DECLINED                 :                      0
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      1


TREASURY BOND (TB)

    ISSUES ADVANCED                 :                      0
    ISSUES DECLINED                 :                      0
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      0


TOTAL TRANSACTIONS

    A. NO. OF TRADES                :                 189007
    B. VOLUME(Nos.)                 :              350084194
    C. VALUE(Tk)                    :         11201556655.80



MARKET CAPITALISATION

    1. EQUITY                       :       2791937628949.38
    2. MUTUAL FUND                  :         32434652996.80
    3. DEBT SECURITIES              :        555158382856.50
    TOTAL                           :       3379530664802.68




                   PRICES IN PUBLIC TRANSACTIONS : 2016-12-19
                   ==========================================

A Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

AAMRATECH     33.40    33.90    32.30    32.50  -1.52    799      1161669       38.379
ABBANK        22.90    23.20    22.60    22.90   1.78   2387      7391520      169.605
ACI          392.00   395.90   387.10   388.80  -1.39    793        77502       30.436
ACIFORMULA   155.00   155.00   150.00   150.50  -2.02    457        89009       13.551
ACMELAB       99.90   101.60    99.40   100.20   0.91   1569       516750       51.939
ACTIVEFINE    44.40    45.20    44.00    44.10   0.46   2683      3924911      175.111
AFCAGRO       54.30    55.00    52.70    53.10  -1.48   1401      1610344       86.648
AFTABAUTO     61.60    62.90    58.90    59.40  -2.14   2187      1933494      117.150
AGNISYSL      20.30    20.50    20.00    20.10   0.50    454       811037       16.420
AGRANINS      23.90    24.90    23.20    24.30   2.97    100       438974       10.469
AL-HAJTEX     87.30    88.50    86.10    86.40   0.23    613       126473       10.980
ALARABANK     15.20    15.50    15.20    15.40   1.32    217       675315       10.373
AMANFEED      71.30    71.40    68.50    69.80  -1.27    681       450687       31.754
AMBEEPHA     405.00   407.70   392.00   393.90  -2.26    306        11764        4.664
AMCL(PRAN)   211.60   211.70   205.10   207.10  -0.72    165        28581        5.931
ANLIMAYARN    28.60    29.70    28.50    28.60   0.00    284       266937        7.738
APEXFOODS    144.00   144.00   138.40   139.10  -1.56    341        53444        7.496
APEXFOOT     342.60   342.60   331.00   333.60  -0.51    359        53702       17.912
APEXSPINN    111.00   112.00   106.40   107.00  -2.28    357        77724        8.380
APEXTANRY    131.80   132.00   125.00   127.30  -2.23    274       111866       14.449
APOLOISPAT    19.10    19.50    18.70    19.40   2.11   3487     11141482      213.037
ARAMIT       352.00   355.00   351.20   354.00   0.11    117         8807        3.116
ARAMITCEM     34.20    34.70    33.90    34.00  -0.58    254       172184        5.877
ARGONDENIM    31.90    33.00    31.80    32.70   3.48   2278      4830575      156.412
ASIAINS       18.60    19.50    18.60    19.40   4.86     96        51910        0.998
ASIAPACINS    18.70    19.40    18.70    19.10   2.69     33        34190        0.651
ATLASBANG    109.20   110.00   108.50   108.80  -0.27    209        36594        3.984
BANKASIA      18.10    18.20    17.90    18.00  -0.55     64       242335        4.370
BARKAPOWER    30.40    30.80    30.20    30.40   0.33    796      1671786       50.958
BATASHOE    1161.20  1164.00  1155.00  1159.30  -1.95    107         5558        6.437
BATBC       2508.00  2508.20  2507.50  2508.00   0.04     19          108        0.271
BAYLEASING    24.50    24.80    24.00    24.10   1.26    486      1404362       33.970
BBS           54.30    58.70    53.30    57.00   4.59   4652      8613168      476.981
BDCOM         26.10    26.40    25.80    25.90   0.39    608      1100389       28.709
BDFINANCE     12.80    12.80    12.40    12.50  -1.57    549      1588407       19.943
BDLAMPS      174.00   182.50   174.00   175.90   0.51    211        24829        4.404
BDTHAI        25.30    25.90    25.10    25.50   2.41   2368      5602242      142.996
BENGALWTL     47.00    48.80    46.80    48.30   4.09   1116      1401571       66.936
BERGERPBL   2330.00  2330.00  2300.00  2306.90  -0.91      6           51        0.118
BEXIMCO       24.00    24.40    24.00    24.00   0.00   1758      2672805       64.528
BGIC          20.40    20.40    20.00    20.20   1.00     58        46484        0.939
BRACBANK      65.10    65.40    64.90    65.20   0.15    264       697179       45.423
BSC          449.60   449.60   442.70   443.20  -0.72   1193        59602       26.517
BSCCL        118.00   118.50   115.60   115.90  -1.19   1164       347087       40.509
BSRMLTD      128.10   130.00   125.00   125.60  -2.79   1607       442073       56.038
BSRMSTEEL     94.40    95.00    92.90    93.50  -1.06    437       330940       31.037
BXPHARMA      81.10    81.60    80.00    80.10  -0.87    836       800202       64.344
CENTRALINS    17.50    17.70    17.20    17.50  -1.69     17        34968        0.612
CENTRALPHL    17.20    18.50    17.20    18.40   7.60   3356      8927191      161.186
CITYBANK      27.60    27.80    27.00    27.20  -1.09    688      3639473      100.242
CITYGENINS    15.90    16.40    15.50    15.70   0.00    433       825507       13.199
CMCKAMAL      19.60    21.40    19.60    21.40   9.74   2190      9809762      208.124
CNATEX         8.80     9.40     8.80     9.00   2.27   1609      8916140       81.298
CONFIDCEM    112.70   113.90   108.20   108.90  -2.42   2652      1489316      164.460
CONTININS     18.00    18.30    17.80    18.10   1.12    182       288746        5.237
