

                      DHAKA STOCK EXCHANGE LTD.

                  TODAY'S SHARE MARKET : 2016-12-20
                  =================================


All Category

    ISSUES ADVANCED                 :                     99
    ISSUES DECLINED                 :                    175
    ISSUES UNCHANGED                :                     50
    TOTAL ISSUES TRADED             :                    324


A Category (Equity)

    ISSUES ADVANCED                 :                     82
    ISSUES DECLINED                 :                    142
    ISSUES UNCHANGED                :                     37
    TOTAL ISSUES TRADED             :                    261


B Category (Equity)

    ISSUES ADVANCED                 :                      3
    ISSUES DECLINED                 :                      8
    ISSUES UNCHANGED                :                      1
    TOTAL ISSUES TRADED             :                     12


N Category (Equity)

    ISSUES ADVANCED                 :                      0
    ISSUES DECLINED                 :                      5
    ISSUES UNCHANGED                :                      1
    TOTAL ISSUES TRADED             :                      6


Z Category (Equity)

    ISSUES ADVANCED                 :                     14
    ISSUES DECLINED                 :                     20
    ISSUES UNCHANGED                :                     11
    TOTAL ISSUES TRADED             :                     45


MUTUAL FUND (MF)

    ISSUES ADVANCED                 :                      9
    ISSUES DECLINED                 :                     11
    ISSUES UNCHANGED                :                     14
    TOTAL ISSUES TRADED             :                     34


CORPORATE BOND (CB)

    ISSUES ADVANCED                 :                      0
    ISSUES DECLINED                 :                      1
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      1


TREASURY BOND (TB)

    ISSUES ADVANCED                 :                      0
    ISSUES DECLINED                 :                      0
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      0


TOTAL TRANSACTIONS

    A. NO. OF TRADES                :                 173318
    B. VOLUME(Nos.)                 :              314917354
    C. VALUE(Tk)                    :          9326317569.30



MARKET CAPITALISATION

    1. EQUITY                       :       2785737892158.26
    2. MUTUAL FUND                  :         32380586039.62
    3. DEBT SECURITIES              :        555156882856.50
    TOTAL                           :       3373275361054.37




                   PRICES IN PUBLIC TRANSACTIONS : 2016-12-20
                   ==========================================

A Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

AAMRATECH     32.70    34.60    32.70    33.50   3.08   1584      3166660      107.254
ABBANK        23.00    23.10    22.30    22.40  -2.18   1294      4273137       97.002
ACI          391.50   393.70   388.10   392.20   0.87    634        50723       19.864
ACIFORMULA   153.40   153.40   149.60   151.80   0.86    304        69437       10.498
ACMELAB      100.00   101.00    98.90    99.10  -1.10    943       357682       35.614
ACTIVEFINE    44.30    44.60    42.80    43.00  -2.49   1850      2245784       97.831
AFCAGRO       53.80    53.80    51.50    52.40  -1.32    972      1150163       60.940
AFTABAUTO     59.80    59.90    57.10    57.60  -3.03   1708      1327234       77.261
AGNISYSL      20.40    21.10    20.30    20.50   1.99    731      1464288       30.362
AGRANINS      23.90    24.90    23.50    24.70   1.65     93       182575        4.481
AL-HAJTEX     87.80    88.00    86.00    86.20  -0.23    553       117425       10.162
ALARABANK     15.30    15.50    15.30    15.50   0.65    258      1162539       17.913
AMANFEED      69.80    70.40    68.60    68.90  -1.29    790       652109       45.088
AMBEEPHA     393.50   395.60   387.00   389.30  -1.17    247        13213        5.162
AMCL(PRAN)   205.50   208.80   203.80   205.50  -0.77    124        22365        4.587
ANLIMAYARN    29.00    29.50    28.50    28.60   0.00    169       179981        5.194
APEXFOODS    139.10   141.10   138.00   138.20  -0.65    403        43930        6.096
APEXFOOT     338.00   338.00   331.50   333.20  -0.12    242        30929       10.317
APEXSPINN    109.00   109.40   107.00   107.60   0.56    123        17848        1.926
APEXTANRY    127.50   132.50   127.50   129.30   1.57    108        27365        3.561
APOLOISPAT    19.50    19.90    18.80    18.90  -2.58   3017      9669960      186.771
ARAMIT       352.60   355.40   352.10   353.10  -0.25    158        11867        4.193
ARAMITCEM     33.90    34.40    33.20    33.50  -1.47    451       283160        9.578
ARGONDENIM    33.00    33.60    32.10    32.30  -1.22   2152      3126103      103.230
ASIAINS       19.50    19.50    19.00    19.10  -1.55     54        50087        0.967
ASIAPACINS    19.10    19.50    18.80    19.00  -0.52      9        13241        0.251
ATLASBANG    108.30   109.00   107.20   107.70  -1.01    229        43026        4.644
BANKASIA      18.00    18.00    17.80    17.90  -0.56     70       237630        4.267
BARKAPOWER    30.60    31.00    30.30    30.90   1.64    958      2214309       67.936
BATASHOE    1160.00  1160.00  1150.00  1152.00  -0.63    101         6987        8.072
BATBC       2507.10  2540.00  2505.10  2507.20  -0.03    102          904        2.268
BAYLEASING    24.30    24.60    23.90    24.10   0.00    312       549292       13.328
BBS           57.00    57.20    53.90    54.10  -5.09   3974      5928117      326.212
BDCOM         26.30    27.20    25.90    26.00   0.39   1084      2529904       67.384
BDFINANCE     12.50    12.60    12.00    12.10  -3.20    548      1508718       18.566
BDLAMPS      176.20   177.60   173.50   174.30  -0.91    222        25408        4.438
BDTHAI        25.60    25.90    24.50    24.60  -3.53   2072      3359836       84.424
BENGALWTL     48.50    48.70    46.30    46.70  -3.31    520       525557       25.013
BERGERPBL   2300.00  2300.00  2290.00  2293.20  -0.59     27         1870        4.292
BEXIMCO       24.20    25.40    24.10    24.90   3.75   4977     13093045      327.886
BGIC          19.90    20.10    19.20    19.30  -4.46     69        69535        1.371
BRACBANK      65.10    65.10    64.80    64.90  -0.46    295       715977       46.502
BSC          442.80   446.90   438.00   439.60  -0.81   1297        73212       32.353
BSCCL        117.00   117.00   114.70   115.00  -0.78    895       261110       30.218
BSRMLTD      126.40   132.80   126.00   126.80   0.96   1533       521642       67.378
BSRMSTEEL     94.50    95.00    93.60    94.10   0.64    365       211397       19.956
BXPHARMA      80.20    82.80    79.60    80.90   1.00    723       521535       42.442
CENTRALINS    17.50    17.80    17.30    17.40  -0.57     63        43890        0.769
CENTRALPHL    18.50    19.10    18.30    18.40   0.00   2805      6444954      120.871
CITYBANK      27.20    27.60    26.90    27.00  -0.74    520      3351627       90.902
CITYGENINS    15.80    16.20    15.50    15.70   0.00    222       334149        5.313
CMCKAMAL      22.80    22.90    21.30    21.50   0.47   2765      7979380      175.473
CNATEX         9.10     9.30     8.80     8.90  -1.11   1561      8000174       72.767
CONFIDCEM    110.80   111.20   109.00   109.70   0.73   1220       596840       65.645
CONTININS     18.50    19.10    18.00    18.10   0.00    226       445549        8.257
CVOPRL       185.80   193.50   185.30   189.90   2.21    781        70343       13.389
DAFODILCOM    42.40    45.20    42.40    45.10   9.73   1178      3086107      138.386
DBH          105.20   105.80   103.40   103.50  -1.62    341       108336       11.327
DELTALIFE     99.70   101.00    99.20   100.10   0.91    517       242299       24.266
DESCO         48.20    48.20    47.50    47.60  -0.42    265       212972       10.174
DHAKABANK     17.90    18.10    17.80    17.90   0.00    168       475786        8.538
DHAKAINS      20.90    21.30    20.40    20.60  -0.96     69        67342        1.398
DSHGARME     300.00   315.00   299.00   308.70   4.54    254        20905        6.359
DSSL          17.00    17.50    16.50    16.70  -0.60   1333      3363596       57.294
DUTCHBANGL   108.00   109.00   108.00   108.00  -0.64     42        10100        1.091
EASTERNINS    25.60    25.60    25.20    25.30   0.00    121       327287        8.282
EASTLAND      20.70    20.80    20.40    20.40  -1.45     70        82516        1.693
EASTRNLUB   1098.00  1119.10  1072.10  1119.10   6.25    516        15464       17.158
EBL           28.80    28.80    28.00    28.20   0.36    196      1265151       36.024
ECABLES      140.00   145.60   140.00   140.90   0.43     85         9142        1.298
EHL           46.30    46.50    43.50    44.10  -4.55   1757      1845156       83.288
EMERALDOIL    36.00    39.00    36.00    39.00   9.86   1822      3501507      136.073
ENVOYTEX      39.50    40.60    39.20    39.50   0.77    470      1113239       44.215
EXIMBANK      10.90    11.10    10.90    11.00   0.00    597      6589857       72.673
FAMILYTEX      8.10     8.30     8.10     8.10   0.00    552      2360055       19.266
FARCHEM       23.00    23.50    22.50    22.70  -1.30   1906      4062040       93.563
FAREASTFIN    11.20    11.30    10.90    10.90  -2.68    271       822277        9.096
FAREASTLIF    65.00    65.40    63.10    63.60  -1.09    180        82138        5.271
FASFIN        13.70    13.80    13.20    13.30  -2.21    435      1322379       17.872
FEKDIL        24.40    25.30    24.40    24.70   2.07    668      2379926       59.174
FIRSTSBANK    12.60    12.70    12.50    12.60   0.80    798      4476002       56.481
FUWANGCER     16.70    16.90    16.10    16.30  -1.81    917      2415114       39.776
FUWANGFOOD    14.70    15.20    14.40    14.60   0.69   1693      3633659       53.980
GBBPOWER      21.30    21.50    20.50    20.60  -2.37   1196      3052315       63.839
GEMINISEA    716.00   727.00   716.00   722.30   0.71    427        10423        7.507
GENNEXT        8.10     8.20     7.90     8.00   0.00    659      2429129       19.557
GHAIL         52.20    53.50    51.00    52.90   2.92   1729      3102837      163.055
GHCL          40.50    42.00    40.00    40.30  -0.74    363       243970        9.970
GLAXOSMITH  1556.20  1556.20  1548.00  1549.80  -0.02     20          202        0.313
GLOBALINS     15.40    15.60    15.10    15.40  -1.28    117       183261        2.841
GOLDENSON     18.40    19.50    18.30    19.40   7.78   1403      2308721       44.520
GP           285.00   287.00   285.00   286.90   0.31    500       279652       80.170
GPHISPAT      35.60    36.90    35.50    35.70   0.85   2326      4501692      163.319
GQBALLPEN     69.50    71.60    69.50    70.00   0.29    120        31276        2.202
GREENDELT     47.40    48.60    47.40    47.80   0.21     33         7947        0.381
