DHAKA STOCK EXCHANGE LTD.

                  TODAY'S SHARE MARKET : 2016-12-06                 =================================


All Category

    ISSUES ADVANCED                 :                    138
    ISSUES DECLINED                 :                    106
    ISSUES UNCHANGED                :                     49
    TOTAL ISSUES TRADED             :                    293


A Category (Equity)

    ISSUES ADVANCED                 :                    114
    ISSUES DECLINED                 :                     80
    ISSUES UNCHANGED                :                     41
    TOTAL ISSUES TRADED             :                    235


B Category (Equity)

    ISSUES ADVANCED                 :                      3
    ISSUES DECLINED                 :                      4
    ISSUES UNCHANGED                :                      1
    TOTAL ISSUES TRADED             :                      8


N Category (Equity)

    ISSUES ADVANCED                 :                      5
    ISSUES DECLINED                 :                      4
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      9


Z Category (Equity)

    ISSUES ADVANCED                 :                     16
    ISSUES DECLINED                 :                     18
    ISSUES UNCHANGED                :                      7
    TOTAL ISSUES TRADED             :                     41


MUTUAL FUND (MF)

    ISSUES ADVANCED                 :                      6
    ISSUES DECLINED                 :                      5
    ISSUES UNCHANGED                :                     21
    TOTAL ISSUES TRADED             :                     32


CORPORATE BOND (CB)

    ISSUES ADVANCED                 :                      2
    ISSUES DECLINED                 :                      0
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      2


TREASURY BOND (TB)

    ISSUES ADVANCED                 :                      0
    ISSUES DECLINED                 :                      0
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      0


TOTAL TRANSACTIONS

    A. NO. OF TRADES                :                 128725
    B. VOLUME(Nos.)                 :              207695022
    C. VALUE(Tk)                    :          6281648562.30



MARKET CAPITALISATION

    1. EQUITY                       :       2699971110878.13
    2. MUTUAL FUND                  :         29765529258.29
    3. DEBT SECURITIES              :        555150075660.00
    TOTAL                           :       3284886715796.41




                   PRICES IN PUBLIC TRANSACTIONS : 2016-11-17
                   ==========================================

A Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

AAMRATECH     25.90    26.50    25.50    25.70  -0.77    553       711540       18.431
ABBANK        17.70    19.40    17.70    19.40   9.60   2715     13323138      254.164
ACI          407.20   412.00   406.20   407.40   0.32    579        50106       20.492
ACIFORMULA   156.90   159.50   153.30   156.00   0.00    637       345958       54.400
ACTIVEFINE    39.30    39.30    38.60    39.10   0.51    465       441574       17.197
AFCAGRO       45.20    45.80    44.90    45.40   0.89    385       275416       12.478
AFTABAUTO     56.70    57.30    55.50    56.80   1.07   2504      2121991      119.811
AGRANINS      17.50    18.20    17.20    17.30  -2.26    111       199219        3.539
AL-HAJTEX     96.00    97.00    94.20    94.90  -0.52    755       162301       15.450
ALARABANK     15.00    15.30    15.00    15.20   0.66    366      1956513       29.704
AMBEEPHA     440.40   455.00   439.00   442.10   1.03    339        13563        6.052
APEXFOOT     364.50   367.00   358.40   359.60  -1.18   1093       109082       39.413
APEXTANRY    123.70   125.50   123.00   124.50   1.72    148        22557        2.805
ARGONDENIM    28.30    28.90    28.00    28.20   0.36   1323      2506104       71.390
ASIAINS       16.60    16.90    16.40    16.40  -1.20    105       208558        3.510
ASIAPACINS    16.50    16.70    16.30    16.30  -0.61     70        35440        0.584
ATLASBANG    112.20   113.20   111.50   112.30  -0.35    171        32788        3.689
BANKASIA      17.40    17.70    17.40    17.70   1.72     65       282694        5.001
BATASHOE    1180.00  1180.00  1173.00  1176.60  -0.26     50         3833        4.517
BATBC       2506.10  2520.00  2506.10  2514.50   0.35     21          135        0.339
BAYLEASING    20.20    20.70    20.20    20.30   0.50    174       374856        7.670
BBS           48.30    48.80    46.00    46.40  -3.33   2032      3694445      173.946
BDFINANCE     10.10    10.40    10.00    10.20   2.00    344      1054313       10.800
BDLAMPS      169.30   172.00   169.30   170.00  -0.47    127        12682        2.159
BDTHAI        22.50    22.80    22.00    22.30  -1.76   1545      3026648       67.870
BERGERPBL   2400.00  2400.00  2350.00  2369.30  -1.28     25          172        0.408
