DHAKA STOCK EXCHANGE LTD.

                  TODAY'S SHARE MARKET : 2016-12-07
                  =================================


All Category

    ISSUES ADVANCED                 :                    144
    ISSUES DECLINED                 :                    132
    ISSUES UNCHANGED                :                     49
    TOTAL ISSUES TRADED             :                    325


A Category (Equity)

    ISSUES ADVANCED                 :                    114
    ISSUES DECLINED                 :                    108
    ISSUES UNCHANGED                :                     39
    TOTAL ISSUES TRADED             :                    261


B Category (Equity)

    ISSUES ADVANCED                 :                      5
    ISSUES DECLINED                 :                      4
    ISSUES UNCHANGED                :                      1
    TOTAL ISSUES TRADED             :                     10


N Category (Equity)

    ISSUES ADVANCED                 :                      6
    ISSUES DECLINED                 :                      2
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      8


Z Category (Equity)

    ISSUES ADVANCED                 :                     19
    ISSUES DECLINED                 :                     18
    ISSUES UNCHANGED                :                      9
    TOTAL ISSUES TRADED             :                     46


MUTUAL FUND (MF)

    ISSUES ADVANCED                 :                      6
    ISSUES DECLINED                 :                     11
    ISSUES UNCHANGED                :                     17
    TOTAL ISSUES TRADED             :                     34


CORPORATE BOND (CB)

    ISSUES ADVANCED                 :                      1
    ISSUES DECLINED                 :                      0
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      1


TREASURY BOND (TB)

    ISSUES ADVANCED                 :                      0
    ISSUES DECLINED                 :                      0
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      0


TOTAL TRANSACTIONS

    A. NO. OF TRADES                :                 159429
    B. VOLUME(Nos.)                 :              276578174
    C. VALUE(Tk)                    :          8642455754.60



MARKET CAPITALISATION

    1. EQUITY                       :       2772199097821.32
    2. MUTUAL FUND                  :         32498561843.56
    3. DEBT SECURITIES              :        555167064870.00
    TOTAL                           :       3359864724534.88




                   PRICES IN PUBLIC TRANSACTIONS : 2016-12-07
                   ==========================================

A Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

AAMRATECH     34.30    35.80    33.80    34.50   1.47   1538      3331303      116.582
ABBANK        21.50    22.00    21.50    21.90   1.86   1340      4071590       88.696
ACI          404.00   404.00   397.50   398.70  -0.65    676        51380       20.505
ACIFORMULA   155.10   156.00   154.40   154.70  -0.45    291        54718        8.469
ACTIVEFINE    40.30    40.40    39.70    40.00  -0.25   1142      1195436       47.711
AFCAGRO       46.90    47.20    46.30    46.80  -0.21    722       632152       29.502
AFTABAUTO     54.80    57.50    54.70    57.00   4.78   2133      1854740      103.891
AGNISYSL      21.00    21.70    20.90    21.40   1.90   1102      2124412       45.405
AGRANINS      21.00    21.70    20.70    21.40   1.42    147       167312        3.559
ALARABANK     15.00    15.30    15.00    15.20   0.66    191       846101       12.836
AMANFEED      71.80    73.90    71.30    72.90   2.68    843       797838       57.795
AMBEEPHA     380.00   380.00   365.00   373.90  -4.28    365        19357        7.219
AMCL(PRAN)   202.00   205.90   201.70   205.40   1.94    157        21263        4.334
ANLIMAYARN    28.50    29.10    28.00    28.20  -0.70    289       222364        6.324
APEXFOODS    150.00   151.00   146.80   148.90   0.61    511        84164       12.490
APEXFOOT     345.50   349.80   344.00   344.60  -0.20    439        54232       18.759
APEXSPINN    117.90   118.90   114.70   114.90  -2.46    271        50644        5.839
APEXTANRY    138.90   138.90   132.00   132.70  -3.00    179        24565        3.296
APOLOISPAT    15.80    15.90    15.50    15.80  -0.63   1521      5430957       85.198
ARAMIT       359.00   361.90   354.80   355.00  -1.00    187        10442        3.717
ARAMITCEM     34.20    34.80    33.60    34.00  -1.45    280       175648        5.991
ARGONDENIM    32.30    34.50    32.30    34.00   6.25   3353      7054496      238.092
ASIAINS       18.90    19.30    18.80    18.90  -0.53     78        60934        1.151
ASIAPACINS    19.50    19.50    19.00    19.10  -2.05     16        10800        0.206
ATLASBANG    112.00   112.00   111.20   111.70   0.09    166        36344        4.063
BANKASIA      18.10    18.20    17.90    18.00   0.00     37       122967        2.214
