

                      DHAKA STOCK EXCHANGE LTD.

                  TODAY'S SHARE MARKET : 2016-12-21
                  =================================
	Please press the refresh button if the page is not updated

All Category

    ISSUES ADVANCED                 :                    104
    ISSUES DECLINED                 :                    171
    ISSUES UNCHANGED                :                     51
    TOTAL ISSUES TRADED             :                    326


A Category (Equity)

    ISSUES ADVANCED                 :                     89
    ISSUES DECLINED                 :                    131
    ISSUES UNCHANGED                :                     42
    TOTAL ISSUES TRADED             :                    262


B Category (Equity)

    ISSUES ADVANCED                 :                      2
    ISSUES DECLINED                 :                      7
    ISSUES UNCHANGED                :                      3
    TOTAL ISSUES TRADED             :                     12


N Category (Equity)

    ISSUES ADVANCED                 :                      1
    ISSUES DECLINED                 :                      5
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      6


Z Category (Equity)

    ISSUES ADVANCED                 :                     12
    ISSUES DECLINED                 :                     28
    ISSUES UNCHANGED                :                      6
    TOTAL ISSUES TRADED             :                     46


MUTUAL FUND (MF)

    ISSUES ADVANCED                 :                     10
    ISSUES DECLINED                 :                      8
    ISSUES UNCHANGED                :                     16
    TOTAL ISSUES TRADED             :                     34


CORPORATE BOND (CB)

    ISSUES ADVANCED                 :                      0
    ISSUES DECLINED                 :                      1
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      1


TREASURY BOND (TB)

    ISSUES ADVANCED                 :                      0
    ISSUES DECLINED                 :                      0
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      0


TOTAL TRANSACTIONS

    A. NO. OF TRADES                :                 143394
    B. VOLUME(Nos.)                 :              232004557
    C. VALUE(Tk)                    :          7446696297.30



MARKET CAPITALISATION

    1. EQUITY                       :       2782165484490.97
    2. MUTUAL FUND                  :         32278135553.42
    3. DEBT SECURITIES              :        555134382856.50
    TOTAL                           :       3369578002900.89




                   PRICES IN PUBLIC TRANSACTIONS : 2016-12-21
                   ==========================================

A Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

AAMRATECH     33.90    35.60    33.80    35.40   5.67   2013      3756783      130.538
ABBANK        22.60    22.60    22.00    22.10  -1.34    958      2187516       48.564
ACI          390.40   396.80   390.00   391.70  -0.13    634        67274       26.485
ACIFORMULA   153.00   153.00   151.90   152.10   0.20     81        23887        3.637
ACMELAB       99.40    99.60    98.60    98.80  -0.30    663       233626       23.109
ACTIVEFINE    43.40    43.40    42.10    42.40  -1.40   1394      1575874       67.094
AFCAGRO       52.10    52.80    50.70    51.40  -1.91   1031      1056964       54.512
AFTABAUTO     57.80    58.40    55.90    56.30  -2.26   1286      1067867       60.884
AGNISYSL      20.80    21.10    20.30    20.70   0.98    560      1060169       21.958
AGRANINS      24.00    25.30    24.00    25.10   1.62     49       136259        3.394
AL-HAJTEX     86.30    87.40    85.90    86.10  -0.12    344        81708        7.050
ALARABANK     15.40    15.70    15.30    15.30  -1.29    345      1602666       24.741
AMANFEED      68.90    69.20    67.50    67.90  -1.45    561       347427       23.713
AMBEEPHA     400.00   400.00   392.10   397.10   2.00    160         7123        2.814
AMCL(PRAN)   206.00   208.60   205.00   207.60   1.02     86        13274        2.746
ANLIMAYARN    29.10    29.10    28.10    28.20  -1.40    241       197871        5.624
APEXFOODS    139.90   144.00   139.00   139.90   1.23    433        53170        7.519
APEXFOOT     336.50   341.90   333.70   334.70   0.45    247        24402        8.205
APEXSPINN    108.10   113.00   108.00   110.70   2.88    300        43015        4.765
APEXTANRY    129.10   135.00   127.10   127.50  -1.39    331       119180       15.398
APOLOISPAT    19.00    19.50    18.50    19.20   1.59   2511      8408385      160.181
ARAMIT       354.80   359.80   354.80   357.00   1.10    144         9585        3.424
ARAMITCEM     33.60    33.60    33.10    33.30  -0.60    288       194055        6.482
ARGONDENIM    32.30    32.50    31.20    31.40  -2.79   1728      2242632       71.273
ASIAINS       18.60    19.00    18.40    18.50  -3.14     55        40899        0.760
ASIAPACINS    19.00    19.50    18.50    19.00   0.00     11         6300        0.119
ATLASBANG    107.50   108.00   106.00   106.80  -0.84    208        39571        4.223
BANKASIA      17.80    18.10    17.80    17.90   0.00     90       340185        6.096
BARKAPOWER    31.00    31.30    30.50    30.70  -0.65    760      1610829       49.690
BATASHOE    1148.00  1155.00  1148.00  1149.90  -0.18     79         8926       10.273
BATBC       2510.00  2510.00  2505.00  2506.00  -0.05     67        24226       60.711
BAYLEASING    24.20    24.30    23.90    24.10   0.00    147       230011        5.546
BBS           54.40    57.10    53.90    55.20   2.03   3813      5625953      311.772
BDCOM         26.40    26.90    26.00    26.70   2.69    741      1535996       40.701
BDFINANCE     12.10    12.30    12.00    12.10   0.00    361       983500       11.961
BDLAMPS      173.30   178.00   173.20   173.80  -0.29    189        17771        3.110
BDTHAI        24.70    24.90    24.10    24.50  -0.41   1290      2320503       56.745
BENGALWTL     46.80    48.90    46.00    48.70   4.28   1318      2338518      111.530
BERGERPBL   2300.00  2300.00  2300.00  2300.00   0.30      1         9230       21.229
BEXIMCO       25.00    25.40    24.60    24.70  -0.80   1976      4430511      110.516
BGIC          19.20    19.90    18.70    18.80  -2.59     76        49844        0.955
BRACBANK      64.90    65.10    64.80    64.90   0.00    276      1075987       69.856
BSC          441.10   445.40   438.70   439.20  -0.09    837        34397       15.169
BSCCL        115.20   115.90   114.20   114.60  -0.35    559       149093       17.149
BSRMLTD      127.90   129.80   124.80   125.80  -0.79    828       268627       34.045
BSRMSTEEL     94.50    94.50    93.20    93.90  -0.21    199       161706       15.131
BXPHARMA      80.30    81.20    80.20    80.40  -0.62    380       240479       19.377
CENTRALINS    17.40    17.80    17.00    17.40   0.00     45        54754        0.956
CENTRALPHL    18.40    19.20    17.80    18.90   2.72   2254      6130108      113.900
CITYBANK      26.90    27.20    26.70    26.80  -0.74    385      1270834       34.205
CITYGENINS    15.70    15.90    15.20    15.30  -2.55    214       319744        4.960
CMCKAMAL      21.50    23.60    21.00    23.50   9.30   3148      9234083      206.818
CNATEX         9.00     9.10     8.70     8.80  -1.12   1479      8849901       78.304
CONFIDCEM    110.90   113.10   109.00   109.70   0.00   1386       740217       82.045
CONTININS     18.10    18.40    18.00    18.10   0.00     68       113828        2.068
CVOPRL       193.00   194.50   191.60   192.60   1.42    939        86410       16.700
DAFODILCOM    45.90    48.00    45.00    45.90   1.77   1005      1778037       83.532
DBH          103.00   103.00   100.00   100.60  -2.80   1151       570103       57.590
DELTALIFE     99.90   101.00    99.10    99.60  -0.50    281        89450        8.937
DESCO         48.00    48.00    45.90    46.20  -2.94    453       426915       19.934
DHAKABANK     18.00    18.00    17.70    17.80  -0.56     77       183020        3.263
DHAKAINS      20.50    20.90    20.50    20.50  -0.49     41        48898        1.010
DSHGARME     320.00   321.00   311.00   313.20   1.46    428        24619        7.804
DSSL          16.90    17.00    16.40    16.80   0.60    877      2229957       37.337
DUTCHBANGL   108.10   110.00   108.00   108.20   0.19     58        26831        2.930
EASTERNINS    25.20    25.50    24.70    24.70  -2.37    181       531003       13.324
EASTLAND      21.00    21.40    20.80    21.20   3.92    359       536803       11.272
EASTRNLUB   1118.00  1189.00  1118.00  1189.00   6.25    477        24914       29.554
EBL           28.20    28.70    28.20    28.60   1.42     71       257887        7.371
ECABLES      143.80   144.00   141.30   141.60   0.50     51         7553        1.074
EHL           44.00    45.20    43.70    44.30   0.45    979       871992       38.643
EMERALDOIL    40.00    42.90    38.70    42.70   9.49   3783      4723745      193.328
ENVOYTEX      39.50    39.60    39.10    39.20  -0.76    121       132275        5.188
EXIMBANK      11.10    11.20    11.00    11.10   0.91    454      3915830       43.424
FAMILYTEX      8.20     8.20     8.00     8.10   0.00    496      1611779       13.088
FARCHEM       22.60    23.00    22.50    22.60  -0.44   1239      1979202       44.843
FAREASTFIN    10.90    11.00    10.50    10.70  -1.83    251       506906        5.473
FAREASTLIF    63.70    64.80    63.60    64.20   0.94     55        19489        1.249
FASFIN        13.40    13.60    13.30    13.40   0.75    247       810808       10.862
FEKDIL        25.00    25.00    24.20    24.40  -1.21    251       620160       15.153
FIRSTSBANK    12.70    12.70    12.40    12.50  -0.79    507      2850024       35.798
FUWANGCER     16.30    16.40    15.90    16.00  -1.84    675      1468104       23.566
FUWANGFOOD    14.60    14.70    14.00    14.20  -2.74    847      1647583       23.500
GBBPOWER      20.90    20.90    19.80    20.00  -2.91   1157      2611480       52.580
GEMINISEA    723.00   756.00   720.00   734.50   1.69    780        19074       14.182
GENNEXT        8.10     8.10     7.80     7.90  -1.25    615      2470013       19.535
GHAIL         52.50    55.00    52.50    54.10   2.27   1714      3374242      181.572
GHCL          40.50    40.50    39.00    39.40  -2.23    218       100128        3.973
GLAXOSMITH  1548.30  1568.00  1548.30  1551.40   0.10     23          179        0.278
GLOBALINS     15.20    16.00    15.20    15.60   1.30    164       310195        4.876
GOLDENSON     19.40    19.40    19.00    19.20  -1.03    646      1071876       20.593
GP           287.00   287.50   286.30   287.00   0.03    258       118154       33.894
GPHISPAT      35.80    35.80    34.40    34.70  -2.80   1387      2251870       78.703
